"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"trophy/tl_tank_steel_trophy";"[Thunder League] Big Steel Trophy";"[Thunder League] Big Steel Trophy";"[Thunder League] Trofeo d'acciaio Grande";"[Thunder League] Große Stahltrophäe";"[Liga Thunder] Gran trofeo de acero";"[Лига Грома] Большой Стальной Трофей";"[Thunder League] Duże Stalowe Trofeum";"[Thunder liga] Velká ocelová trofej";"[Thunder Ligi] Büyük Çelik Ganimet";"【\t雷\t霆\t联\t赛\t】\t“\t大\t铁\t块\t”\t作\t战\t物\t资";"[Thunder League] 鋼の\t大型\tトロフィー";"[Thunder League] Big Steel Trophy";"[Thunder League] Big Steel Trophy";"[Ліга Грома] Великий Сталевий Трофей";"[Thunder Liga] Veliki čelični trofej";"[Thunder Liga] Nagy acél hadizsákmány";"[Thunder League] Big Steel Trophy";"[Ліга Грому] Вялікі сталёвы трафей";"[Thunder League] Big Steel Trophy";"[Thunder League] Big Steel Trophy";"[Thunder League] Big Steel Trophy";;
"trophy/air_tournament_AL";"Trophy of Legend";"Trophy of Legend";"Trofeo Leggendario";"Trophäe der Legende";"Trofeo de leyenda";"Трофей Легенды";"Trofeum Legendy";"Trofej z legend";"Efsane Ganimeti";"传\t奇\t作\t战\t物\t资";"伝説の\tトロフィー";"Trophy of Legend";"Trophy of Legend";"Трофей Легенди";"Trofej legende";"Legendák hadizsákmánya";"Trophy of Legend";"Трафей Легенды";"Trophy of Legend";"Trophy of Legend";"Trophy of Legend";;
"trophy/26_09_circuit_air_trophy";"▍ Tester's trophy";"▍ Tester's trophy";"▍ Trofeo Collaudatore";"▍ Tester-Trophäe";"Trofeo de probador";"▍ Трофей тестировщика";"▍ Trofeum Testera";"▍ Trofej testera";"▍ Test edici'nin ganimeti";"“\t▍\t \t测\t试\t者\t”\t作\t战\t物\t资";"▍ テスターの\tトロフィー";"▍ Tester's trophy";"▍ Tester's trophy";"▍ Трофей тестувальника";"▍ Testerski trofej";"▍ Tesztelők hadizsákmánya";"▍ Tester's trophy";"▍ Трафей тэставальніка";"▍ Tester's trophy";"▍ Tester's trophy";"▍\t Tester's trophy";;
"trophy/26_09_circuit_tank_trophy";"▔ Tester's trophy";"▔ Tester's trophy";"▔ Trofeo Collaudatore";"▔ Tester-Trophäe";"▔ Trofeo de probador";"▔ Трофей тестировщика";"▔ Trofeum Testera";"▔ Trofej testera";"▔ Test edici'nin ganimeti";"“\t▔\t \t测\t试\t者\t”\t作\t战\t物\t资";"▔ テスターの\tトロフィー";"▔ Tester's trophy";"▔ Tester's trophy";"▔ Трофей тестувальника";"▔ Testerski trofej";"▔ Tesztelők hadizsákmánya";"▔ Tester's trophy";"▔ Трафей тэставальніка";"▔ Tester's trophy";"▔ Tester's trophy";"▔\t Tester's trophy";;
"trophy/08_03_booster_trophy";"Trophy ""knight""";"Trophy ""knight""";"Trofeo ""cavaliere""";"Trophy ""knight""";"Trophy ""knight""";"Трофей ""Рыцарь""";"Trofeum „rycerz”";"Trofej ""rytíř""";"""Şövalye"" ganimeti";"“\t骑\t士\t”\t作\t战\t物\t资";"Trophy ""knight""";"Trophy ""knight""";"Trophy ""knight""";"Трофей ""Лицар""";"Trofej ""Vitez""";"Lovag hadizsákmány";"Trophy ""knight""";"Трафей «Рыцар»";"Trophy ""knight""";"Trophy ""knight""";"Trophy ""knight""";;
"trophy/halloween_shop_trophy";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Трофей ""Котелок ведьмы""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"“\t魔\t女\t的\t大\t锅\t”\t作\t战\t物\t资";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";"Trophy ""Witch's Cauldron""";;
"trophy/2018_valentin_trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"Трофей Святого Валентина";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"“\t情\t人\t节\t”\t作\t战\t物\t资";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine’s day"" trophy";"""Valentine\t’\ts day"" trophy";;
"trophy/victory_day_ctf_2018_trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Трофей победителя";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";"Victory Trophy";;
"trophy/tank_football_tournaments_skin_trophy";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Купон на один из двух футбольных камуфляжей M551 ""Тигр"" или ""Дракон""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";"Va coupon for one of the football camos for M551: ""Tiger"" or ""Dragon""";;
"trophy/tank_football_console_trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"Трофей Первого футбольного танкового турнира";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";"First tank footbal tournament trophy";;
